Label,Precision,Recall,F1-Score,ROC-AUC,Support
toxic,0.5950823370178209,0.8623733246158876,0.7042178323545115,0.0,3059
severe_toxic,0.2774122807017544,0.8135048231511254,0.41373671300081766,0.0,311
obscene,0.6213836477987421,0.8666666666666667,0.7238095238095238,0.0,1710
threat,0.23465703971119134,0.6701030927835051,0.34759358288770054,0.0,97
insult,0.5157614887960501,0.8540880503144654,0.6431446838740232,0.0,1590
identity_hate,0.22442244224422442,0.7058823529411765,0.34056761268781305,0.0,289
