Label,Precision,Recall,F1-Score,Support
toxic,0.8353619474695708,0.8525661981039555,0.8438763954052743,3059
severe_toxic,0.5817307692307693,0.3890675241157556,0.4662813102119461,311
obscene,0.8280182232346242,0.8502923976608188,0.8390075014425851,1710
threat,0.5901639344262295,0.3711340206185567,0.45569620253164556,97
insult,0.7608158220024722,0.7742138364779875,0.7674563591022444,1590
identity_hate,0.6485355648535565,0.5363321799307958,0.5871212121212122,289
